
For lr 0.00000100 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.2583 and Validation Accuracy 0.2675
For lr 0.00000100 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.2605 and Validation Accuracy 0.2770
For lr 0.00000100 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.2734 and Validation Accuracy 0.2850
For lr 0.00000100 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.2769 and Validation Accuracy 0.2900
For lr 0.00000100 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.2961 and Validation Accuracy 0.3000
For lr 0.00000100 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3185 and Validation Accuracy 0.3190
For lr 0.00000100 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.3346 and Validation Accuracy 0.3390
For lr 0.00000100 ,rs 1.0000 and bs 32.000000 Train Accuracy 0.2555 and Validation Accuracy 0.2695
For lr 0.00000100 ,rs 1.0000 and bs 64.000000 Train Accuracy 0.2589 and Validation Accuracy 0.2710
For lr 0.00000100 ,rs 1.0000 and bs 128.000000 Train Accuracy 0.2727 and Validation Accuracy 0.2865
For lr 0.00000100 ,rs 1.0000 and bs 150.000000 Train Accuracy 0.2767 and Validation Accuracy 0.2900
For lr 0.00000100 ,rs 1.0000 and bs 300.000000 Train Accuracy 0.2950 and Validation Accuracy 0.3000
For lr 0.00000100 ,rs 1.0000 and bs 600.000000 Train Accuracy 0.3177 and Validation Accuracy 0.3190
For lr 0.00000100 ,rs 1.0000 and bs 1000.000000 Train Accuracy 0.3348 and Validation Accuracy 0.3380
For lr 0.00000100 ,rs 10.0000 and bs 32.000000 Train Accuracy 0.2590 and Validation Accuracy 0.2675
For lr 0.00000100 ,rs 10.0000 and bs 64.000000 Train Accuracy 0.2615 and Validation Accuracy 0.2735
For lr 0.00000100 ,rs 10.0000 and bs 128.000000 Train Accuracy 0.2728 and Validation Accuracy 0.2870
For lr 0.00000100 ,rs 10.0000 and bs 150.000000 Train Accuracy 0.2771 and Validation Accuracy 0.2885
