
Here are test results on Softmax Classifier

For lr 0.00000300 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.3193 and Validation Accuracy 0.2650
For lr 0.00000300 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.3279 and Validation Accuracy 0.2905
For lr 0.00000300 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3529 and Validation Accuracy 0.3055
For lr 0.00000300 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3557 and Validation Accuracy 0.3055
For lr 0.00000300 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3695 and Validation Accuracy 0.3135
For lr 0.00000300 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3814 and Validation Accuracy 0.3200
For lr 0.00000300 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.3850 and Validation Accuracy 0.3185
For lr 0.00000020 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.3513 and Validation Accuracy 0.2690
For lr 0.00000020 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.3678 and Validation Accuracy 0.2925
For lr 0.00000020 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3840 and Validation Accuracy 0.3155
For lr 0.00000020 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3895 and Validation Accuracy 0.3215
For lr 0.00000020 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3941 and Validation Accuracy 0.3170
For lr 0.00000020 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3959 and Validation Accuracy 0.3250
For lr 0.00000020 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.3968 and Validation Accuracy 0.3215
For lr 0.00000080 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.3328 and Validation Accuracy 0.2750
For lr 0.00000080 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.3445 and Validation Accuracy 0.2835
For lr 0.00000080 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3626 and Validation Accuracy 0.3100
For lr 0.00000080 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3654 and Validation Accuracy 0.3090
For lr 0.00000080 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3745 and Validation Accuracy 0.3135
For lr 0.00000080 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3845 and Validation Accuracy 0.3205
For lr 0.00000080 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.3867 and Validation Accuracy 0.3225
For lr 0.00000006 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.3274 and Validation Accuracy 0.2095
For lr 0.00000006 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.3550 and Validation Accuracy 0.2490
For lr 0.00000006 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3742 and Validation Accuracy 0.3120
For lr 0.00000006 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3802 and Validation Accuracy 0.3115
For lr 0.00000006 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3984 and Validation Accuracy 0.3015
For lr 0.00000006 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.4055 and Validation Accuracy 0.3140
For lr 0.00000006 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.4090 and Validation Accuracy 0.3145
For lr 0.00000900 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.3160 and Validation Accuracy 0.2700
For lr 0.00000900 ,rs 0.0000 and bs 64.000000 Train Accuracy 0.3264 and Validation Accuracy 0.2860
For lr 0.00000900 ,rs 0.0000 and bs 128.000000 Train Accuracy 0.3530 and Validation Accuracy 0.3130
For lr 0.00000900 ,rs 0.0000 and bs 150.000000 Train Accuracy 0.3543 and Validation Accuracy 0.3070
For lr 0.00000900 ,rs 0.0000 and bs 300.000000 Train Accuracy 0.3683 and Validation Accuracy 0.3060
For lr 0.00000900 ,rs 0.0000 and bs 600.000000 Train Accuracy 0.3784 and Validation Accuracy 0.3285
For lr 0.00000900 ,rs 0.0000 and bs 1000.000000 Train Accuracy 0.3852 and Validation Accuracy 0.3205
For lr 0.00004000 ,rs 0.0000 and bs 32.000000 Train Accuracy 0.3094 and Validation Accuracy 0.2520
